"","station","is_night","mean_entries","mean_exits"
"1","1 AVE",0,5625.6,5541.9
"2","1 AVE",1,5207.42857142857,4985.5
"3","103 ST",0,2560.33125,1610.71666666667
"4","103 ST",1,1371.42037561717,989.25921667955
"5","103 ST-CORONA",0,4902.08333333333,2258.66666666667
"6","103 ST-CORONA",1,2464.28571428571,7488.80952380952
"7","104 ST",0,1362.5,709.5
"8","104 ST",1,773.333333333333,2345.71428571429
"9","110 ST",0,3747.5,3230.25
"10","110 ST",1,3361.78571428571,6397.38095238095
"11","111 ST",0,2862.83333333333,1567.75
"12","111 ST",1,1564.20634920635,5016.26984126984
"13","116 ST",0,2147.203125,3034.14375
"14","116 ST",1,1030.88113541855,2094.43714511843
"15","116 ST-COLUMBIA",0,2085.75,7345
"16","116 ST-COLUMBIA",1,2838.37248740017,2842.21360424809
"17","121 ST",0,698.4,700.05
"18","121 ST",1,551,1369.14285714286
"19","125 ST",0,2325.94237804878,2668.69786585366
"20","125 ST",1,1673.53885801721,2211.05614920443
"21","135 ST",0,720.745833333333,699.979166666667
"22","135 ST",1,478.831936686415,710.229029986195
"23","137 ST-CITY COL",0,2962.83333333333,3199.91666666667
"24","137 ST-CITY COL",1,1287.77777777778,3046.50793650794
"25","138 ST-3 AVE",0,4134.5625,3805.125
"26","138 ST-3 AVE",1,1897.32142857143,4099.46428571429
"27","138 ST-GR CONC",0,1644,1710
"28","138 ST-GR CONC",1,2510.95238095238,2895.47619047619
"29","14 ST",0,NA,NA
"30","14 ST",1,NA,NA
"31","14 ST-6 AVE",0,NA,NA
"32","14 ST-6 AVE",1,NA,NA
"33","14 ST-UNION SQ",0,NA,NA
"34","14 ST-UNION SQ",1,NA,NA
"35","145 ST",0,NA,NA
"36","145 ST",1,NA,NA
"37","148 ST-LENOX",0,3077,1443
"38","148 ST-LENOX",1,1730.2380952381,3905.95238095238
"39","149 ST-3 AVE",0,1738.98576512456,1622.61565836299
"40","149 ST-3 AVE",1,1495.40404040404,3593.28282828283
"41","149 ST-GR CONC",0,NA,NA
"42","149 ST-GR CONC",1,NA,NA
"43","15 ST-PROSPECT",0,858.075,1184.775
"44","15 ST-PROSPECT",1,272.785714285714,1270.92857142857
"45","155 ST",0,2091.25,2889.5
"46","155 ST",1,960.714285714286,2851.66666666667
"47","157 ST",0,3203.625,2969.71875
"48","157 ST",1,1233.21428571429,3071.25
"49","161 ST-YANKEE",0,NA,NA
"50","161 ST-YANKEE",1,NA,NA
"51","167 ST",0,2923.11545925275,1970.11000645448
"52","167 ST",1,2004.14342629482,4984.90039840637
"53","168 ST-BROADWAY",0,1455.7875,2194.3875
"54","168 ST-BROADWAY",1,2290.39285714286,2857.03571428571
"55","169 ST",0,1212.25,632.7
"56","169 ST",1,676.285714285714,1686.95238095238
"57","170 ST",0,1905.47932330827,1757.50939849624
"58","170 ST",1,1189.6843003413,3165.71672354949
"59","174-175 ST",0,461.416666666667,721.833333333333
"60","174-175 ST",1,405.396825396825,1679.28571428571
"61","175 ST",0,1184.578125,1005.84375
"62","175 ST",1,717.098214285714,2454.0625
"63","176 ST",0,2053.5,1847.0625
"64","176 ST",1,1600.53571428571,4494.82142857143
"65","18 AVE",0,2245.62730627306,1425.18450184502
"66","18 AVE",1,1034.76315789474,3472.60526315789
"67","18 ST",0,614.5484375,633.8578125
"68","18 ST",1,1118.74479596256,582.317911322178
"69","181 ST",0,5514.61363636364,3418.70454545455
"70","181 ST",1,2824.15584415584,5350.97402597403
"71","182-183 ST",0,1543.75,1883.5
"72","182-183 ST",1,996.904761904762,5085
"73","183 ST",0,2051.25,1828.5
"74","183 ST",1,1385.17857142857,4767.5
"75","190 ST",0,1629.25,1751.5
"76","190 ST",1,1517.85714285714,4840.71428571429
"77","191 ST",0,5899.875,2559.9375
"78","191 ST",1,3390.53571428571,6014.10714285714
"79","2 AVE",0,2805.6375,2512.40375
"80","2 AVE",1,2156.16317979353,2514.85164203614
"81","20 AVE",0,2029.375,1470
"82","20 AVE",1,825.238095238095,4318.69047619048
"83","207 ST",0,1162,1720
"84","207 ST",1,975.595238095238,2934.64285714286
"85","215 ST",0,437.25,732
"86","215 ST",1,454.464285714286,1225.17857142857
"87","219 ST",0,1402.75,1873.5
"88","219 ST",1,514.285714285714,2767.38095238095
"89","22 AVE-BAY PKY",0,447,778
"90","22 AVE-BAY PKY",1,265.952380952381,1134.28571428571
"91","225 ST",0,1828.25,2468.75
"92","225 ST",1,669.761904761905,3409.7619047619
"93","23 ST",0,2571.64974619289,4049.60659898477
"94","23 ST",1,2194.26494345719,1462.36672051696
"95","23 ST-6 AVE",0,3196.16666666667,6780.66666666667
"96","23 ST-6 AVE",1,6528.33333333333,4731.42857142857
"97","231 ST",0,374.55,1204.575
"98","231 ST",1,267.642857142857,2797.07142857143
"99","233 ST",0,999.75,2012.7
"100","233 ST",1,402.115384615385,2494.75961538462
"101","238 ST",0,100.5,2266.5
"102","238 ST",1,54.5238095238095,3372.85714285714
"103","242 ST",0,2815.3125,2002.6875
"104","242 ST",1,1557.67857142857,5616.96428571429
"105","25 AVE",0,1418.25,2283.25
"106","25 AVE",1,469.52380952381,4376.19047619048
"107","28 ST",0,2403.66964285714,4112.57142857143
"108","28 ST",1,2541.90182471107,1554.99681776661
"109","3 AVE",0,2382.875,3597.75
"110","3 AVE",1,2777.14285714286,1802.61904761905
"111","33 ST",0,1089.11214423441,1561.92441519705
"112","33 ST",1,1281.08495670996,762.63961038961
"113","33 ST/RAWSON ST",0,622.725,2057.4
"114","33 ST/RAWSON ST",1,2471.35714285714,1931.85714285714
"115","34 ST-HERALD SQ",0,NA,NA
"116","34 ST-HERALD SQ",1,NA,NA
"117","34 ST-PENN STA",0,1755.633794503,1694.00112445462
"118","34 ST-PENN STA",1,1837.63686257678,1553.39322042745
"119","36 ST",0,4353.125,5037
"120","36 ST",1,2346.30952380952,3906.66666666667
"121","40 ST-LOWERY ST",0,4111.125,2277.875
"122","40 ST-LOWERY ST",1,2518.33333333333,5015.59523809524
"123","42 ST-BRYANT PK",0,1892.85,5326.2
"124","42 ST-BRYANT PK",1,5582.64285714286,2270.17857142857
"125","46 ST-BLISS ST",0,2643.625,1571.9375
"126","46 ST-BLISS ST",1,1492.3185483871,3622.3185483871
"127","47-50 ST-ROCK",0,327.003125,1525.76423611111
"128","47-50 ST-ROCK",1,1750.8339841617,580.509226589776
"129","49 ST-7 AVE",0,1372.96923076923,3007.91282051282
"130","49 ST-7 AVE",1,2028.37028806924,1295.1180772969
"131","5 AVE-53 ST",0,1291.71428571429,4020.32142857143
"132","5 AVE-53 ST",1,3762.61904761905,735.816326530612
"133","5 AVE-BRYANT PK",0,16.02375,55.84375
"134","5 AVE-BRYANT PK",1,56.2673629270799,22.3964633190431
"135","50 ST",0,1239.71011904762,2137.46130952381
"136","50 ST",1,1950.00061912527,1169.99504873597
"137","52 ST-LINCOLN",0,3808.375,2129.125
"138","52 ST-LINCOLN",1,986.785714285714,2827.61904761905
"139","55 ST",0,704.25,908.25
"140","55 ST",1,819.761904761905,1716.42857142857
"141","57 ST",0,1772.125,4050.5625
"142","57 ST",1,2681.54761904762,726.130952380952
"143","57 ST-7 AVE",0,16.6675257731959,91.7770618556701
"144","57 ST-7 AVE",1,46.7505759353192,59.9029852242975
"145","59 ST",0,2490,2208
"146","59 ST",1,1802.40909090909,4512.72727272727
"147","59 ST-COLUMBUS",0,NA,NA
"148","59 ST-COLUMBUS",1,NA,NA
"149","6 AVE",0,783.75,3554.7
"150","6 AVE",1,1475.57142857143,2258.42857142857
"151","61 ST/WOODSIDE",0,4907.125,2655.875
"152","61 ST/WOODSIDE",1,1517.98155279731,3453.32382285548
"153","66 ST-LINCOLN",0,698.021032478853,1433.52938928733
"154","66 ST-LINCOLN",1,530.813243181871,701.802826425731
"155","68ST-HUNTER COL",0,2289.32142857143,6472.60714285714
"156","68ST-HUNTER COL",1,3282.85714285714,2354.94897959184
"157","69 ST-FISK AVE",0,2096.8125,1330.03125
"158","69 ST-FISK AVE",1,858.75,1487.94642857143
"159","7 AV-PARK SLOPE",0,859.916666666667,2578.33333333333
"160","7 AV-PARK SLOPE",1,345.079365079365,2487.61904761905
"161","7 AVE",0,6849.75,4548.28125
"162","7 AVE",1,2017.59036144578,4779.03614457831
"163","7 AVE-53 ST",0,3065.85,5311.725
"164","7 AVE-53 ST",1,4518.96746295949,1468.09820362786
"165","71 ST",0,1316.1,757.5
"166","71 ST",1,633.428571428571,3418.71428571429
"167","72 ST",0,5187.72427440633,5710.21108179419
"168","72 ST",1,2830.44082463761,3157.58730603993
"169","74 ST-BROADWAY",0,2454.3,1521.6
"170","74 ST-BROADWAY",1,1880.57142857143,1609.14285714286
"171","75 AVE",0,103.661340448836,542.789023839947
"172","75 AVE",1,117.5,1340.35714285714
"173","77 ST",0,4226.25,5246.48684210526
"174","77 ST",1,3246.31074168798,3481.82225063939
"175","79 ST",0,1239.14963483473,2671.09855207774
"176","79 ST",1,879.029761904762,2902.36734693878
"177","8 AVE",0,4779.125,7719.91666666667
"178","8 AVE",1,2939.60212201592,2791.79045092838
"179","82 ST-JACKSON H",0,4642.98994974874,2540.1256281407
"180","82 ST-JACKSON H",1,3658.77990430622,4597.46411483254
"181","86 ST",0,3884.56914893617,4059.9414893617
"182","86 ST",1,3698.78247265422,4594.28099861569
"183","9 AVE",0,2712.42857142857,1320.10714285714
"184","9 AVE",1,826.836734693878,2179.08163265306
"185","90 ST-ELMHURST",0,2642.35857820793,2283.01002132476
"186","90 ST-ELMHURST",1,1563.73015873016,6107.61904761905
"187","96 ST",0,4139.86842105263,5699.36842105263
"188","96 ST",1,2054.63322091062,4113.35160202361
"189","ALLERTON AVE",0,2144.75,3519.5
"190","ALLERTON AVE",1,1048.09523809524,4275
"191","AQUEDUCT-N CNDT",0,1622.85,431.1
"192","AQUEDUCT-N CNDT",1,614.571428571429,617.285714285714
"193","ASTOR PLACE",0,4085.4375,4054.4375
"194","ASTOR PLACE",1,2055.40326571389,2028.91479193428
"195","ATLANTIC AVE",0,341.25,889.75
"196","ATLANTIC AVE",1,448.333333333333,1437.38095238095
"197","AVE I",0,1148,954.75
"198","AVE I",1,569.52380952381,656.904761904762
"199","AVE N",0,879.964285714286,683.357142857143
"200","AVE N",1,352.551020408163,1116.9387755102
"201","AVE P",0,1104.25,856.75
"202","AVE P",1,768.809523809524,2753.09523809524
"203","AVE U",0,1522.59375,1134.375
"204","AVE U",1,562.142857142857,1915.71428571429
"205","AVE X",0,968.5,757.25
"206","AVE X",1,792.142857142857,1862.14285714286
"207","BARCLAYS CENTER",0,NA,NA
"208","BARCLAYS CENTER",1,NA,NA
"209","BAY 50 ST",0,537.5,1405.5
"210","BAY 50 ST",1,393.095238095238,2364.28571428571
"211","BAY PARKWAY",0,3315,1930.82142857143
"212","BAY PARKWAY",1,1038.87755102041,2905.20408163265
"213","BAY RIDGE AVE",0,1510.25,1264.625
"214","BAY RIDGE AVE",1,758.333333333333,3999.04761904762
"215","BAY RIDGE-95 ST",0,1061.18644067797,664.194915254237
"216","BAY RIDGE-95 ST",1,656.825396825397,2040.2380952381
"217","BAYCHESTER AVE",0,442.5,1746
"218","BAYCHESTER AVE",1,186.428571428571,2806.90476190476
"219","BEACH 25 ST",0,1100.7,323.7
"220","BEACH 25 ST",1,453.142857142857,1079.42857142857
"221","BEACH 36 ST",0,564.6,208.8
"222","BEACH 36 ST",1,285.428571428571,572
"223","BEACH 44 ST",0,401.85,157.35
"224","BEACH 44 ST",1,235.285714285714,389
"225","BEACH 60 ST",0,1395.75,579.9
"226","BEACH 60 ST",1,778.428571428571,1529
"227","BEACH 67 ST",0,1432.8,758.55
"228","BEACH 67 ST",1,1043.57142857143,1546.85714285714
"229","BEDFORD AVE",0,6494.40245581669,4925.65038367958
"230","BEDFORD AVE",1,4086.36904761905,5491.30952380952
"231","BEDFORD PARK BL",0,1613.25,1391.625
"232","BEDFORD PARK BL",1,597.946428571429,2124.64285714286
"233","BEDFORD/NOSTRAN",0,1912.82142857143,1400.46428571429
"234","BEDFORD/NOSTRAN",1,945.885416666667,3455.52083333333
"235","BERGEN ST",0,1423.44230769231,1877.01923076923
"236","BERGEN ST",1,704.67032967033,1500.32967032967
"237","BEVERLY ROAD",0,534,1118.625
"238","BEVERLY ROAD",1,365,3438.57142857143
"239","BOWERY",0,1425.25,2794.25
"240","BOWERY",1,2154.28571428571,1412.38095238095
"241","BOWLING GREEN",0,365.127801724138,1954.06918103448
"242","BOWLING GREEN",1,1567.44374281976,1656.67694811286
"243","BOYD-88 ST",0,1363,2388.75
"244","BOYD-88 ST",1,308.333333333333,5104.04761904762
"245","BRIGHTON BEACH",0,1353.05357142857,1324.5
"246","BRIGHTON BEACH",1,1516.02040816327,2520.35714285714
"247","BROAD ST",0,168.057692307692,1415.88461538462
"248","BROAD ST",1,431.098901098901,237.802197802198
"249","BROADWAY",0,3223.5,3126.25
"250","BROADWAY",1,1423.09523809524,2722.61904761905
"251","BROADWAY-ENY",0,NA,NA
"252","BROADWAY-ENY",1,NA,NA
"253","BRONX PARK EAST",0,1027.5,1517.5
"254","BRONX PARK EAST",1,483.333333333333,2070.2380952381
"255","BROOK AVE",0,2225.46428571429,1774.17857142857
"256","BROOK AVE",1,1058.16326530612,1868.97959183673
"257","BROOKLYN BRIDGE",0,184.378125,648.68359375
"258","BROOKLYN BRIDGE",1,955.245437558739,568.232160805346
"259","BUHRE AVE",0,1501.375,675.625
"260","BUHRE AVE",1,411.547619047619,1317.2619047619
"261","BURKE AVE",0,1246.5,1889.25
"262","BURKE AVE",1,396.666666666667,2868.33333333333
"263","BURNSIDE AVE",0,3103.2,2707.05
"264","BURNSIDE AVE",1,2322.42857142857,6270.57142857143
"265","BUSHWICK AVE",0,1463.25,819
"266","BUSHWICK AVE",1,772.142857142857,1992.61904761905
"267","CANAL ST",0,NA,NA
"268","CANAL ST",1,NA,NA
"269","CARROLL ST",0,900.511363636364,1332.47727272727
"270","CARROLL ST",1,883.826086956522,2501.21739130435
"271","CASTLE HILL AVE",0,2044.92857142857,1003.28571428571
"272","CASTLE HILL AVE",1,1349.69387755102,2886.9387755102
"273","CENTRAL AVE",0,2424,1408.875
"274","CENTRAL AVE",1,660.357142857143,1953.39285714286
"275","CHAMBERS ST",0,983.977275630381,2965.16887038923
"276","CHAMBERS ST",1,2482.00089928058,2207.45503597122
"277","CHAUNCEY ST",0,1406,2057
"278","CHAUNCEY ST",1,465.47619047619,2321.90476190476
"279","CHURCH AVE",0,2003.26594426241,1366.12103159332
"280","CHURCH AVE",1,1122.03286082474,2961.92976804124
"281","CLARK ST",0,2208.1875,2734.875
"282","CLARK ST",1,2031.25,3861.07142857143
"283","CLASSON AVE",0,3807,1911
