"","station_id","line_name","station"
"1","101","1","Van Cortlandt Park - 242 St"
"2","103","1","238 St"
"3","104","1","231 St"
"4","106","1","Marble Hill - 225 St"
"5","107","1","215 St"
"6","108","1","207 St"
"7","109","1","Dyckman St"
"8","110","1","191 St"
"9","111","1","181 St"
"10","112","1AC","168 St-Broadway"
"11","113","1","157 St"
"12","114","1","145 St"
"13","115","1","137 St - City College"
"14","116","1","125 St"
"15","117","1","116 St - Columbia University"
"16","118","1","110 St-Cathedrl"
"17","119","1","103 St"
"18","120","123","96 St"
"19","121","1","86 St"
"20","122","1","79 St"
"21","123","123","72 St"
"22","124","1","66 St - Lincoln Center"
"23","125","1ABCD","59 St - Columbus Circle"
"24","126","1","50 St"
"25","127","1237ACEGNQRS","Times Sq - 42 St"
"26","128","123","34 St - Penn Station"
"27","129","1","28 St"
"28","130","1","23 St"
"29","131","1","18 St"
"30","132","123FLM","14 St"
"31","133","1","Christopher St"
"32","134","1","Houston St"
"33","135","1","Canal St"
"34","136","1","Franklin St"
"35","137","123","Chambers St"
"36","138","1","Cortlandt St"
"37","139","1","Rector St"
"38","140","1NR","South Ferry Loop"
"39","201","2","Wakefield - 241 St"
"40","204","25","Nereid Av"
"41","205","25","233 St"
"42","206","25","225 St"
"43","207","25","219 St"
"44","208","25","Gun Hill Rd"
"45","209","25","Burke Av"
"46","210","25","Allerton Av"
"47","211","25","Pelham Pkwy"
"48","212","25","Bronx Park East"
"49","213","25","E 180 St"
"50","214","2","E Tremont Ave"
"51","215","2","174 St"
"52","216","2","Freeman St"
"53","217","2","Simpson St"
"54","218","2","Intervale Av"
"55","219","2","Prospect Av"
"56","220","2","Jackson Av"
"57","221","25","3 Av - 149 St"
"58","222","245","149 St - Grand Concourse"
"59","224","23","135 St"
"60","225","23","125 St"
"61","226","23","116 St"
"62","227","23","110 St-CPN"
"63","228","23ACE","Park Pl"
"64","229","2345ACJZ","Fulton St"
"65","230","23","Wall St"
"66","231","23","Clark St"
"67","232","2345NR","Borough Hall"
"68","233","23","Hoyt St"
"69","234","2345","Nevins St"
"70","235","2345BDNQR","Atlantic Av - Barclays Ctr"
"71","236","234","Bergen St"
"72","237","234","Grand Army Plaza"
"73","238","234","Eastern Pkwy - Brooklyn Museum"
"74","239","2345FS","Franklin Av"
"75","248","34","Nostrand Av"
"76","249","34","Kingston Av"
"77","250","345","Crown Hts - Utica Av"
"78","251","34","Sutter Ave"
"79","252","34","Saratoga Av"
"80","253","34","Rockaway Av"
"81","254","34L","Junius St"
"82","255","34","Pennsylvania Av"
"83","256","34","Van Siclen Av"
"84","257","34","New Lots Av"
"85","301","3","Harlem - 148 St"
"86","302","3","145 St"
"87","401","4","Woodlawn"
"88","402","4","Mosholu Pkwy"
"89","405","4","Bedford Park Bl"
"90","406","4","Kingsbridge Rd"
"91","407","4","Fordham Rd"
"92","408","4","183 St"
"93","409","4","Burnside Av"
"94","410","4","176 St"
"95","411","4","Mt Eden Av"
"96","412","4","170 St"
"97","413","4","167 St"
"98","414","4BD","161 St - Yankee Stadium"
"99","416","45","138 St - Grand Concourse"
"100","419","45","Wall St"
"101","420","45","Bowling Green"
"102","501","5","Eastchester - Dyre Av"
"103","502","5","Baychester Av"
"104","503","5","Gun Hill Rd"
"105","504","5","Pelham Pkwy"
"106","505","5","Morris Park"
"107","601","6","Pelham Bay Park"
"108","602","6","Buhre Av"
"109","603","6","Middletown Rd"
"110","604","6","Westchester Sq - E Tremont Av"
"111","606","6","Zerega Av"
"112","607","6","Castle Hill Av"
"113","608","6","Parkchester"
"114","609","6","St Lawrence Av"
"115","610","6","Morrison Av- Sound View"
"116","611","6","Elder Av"
"117","612","6","Whitlock Av"
"118","613","6","Hunts Point Av"
"119","614","6","Longwood Av"
"120","615","6","E 149 St"
"121","616","6","E 143 St - St Mary's St"
"122","617","6","Cypress Av"
"123","618","6","Brook Av"
"124","619","6","3 Av - 138 St"
"125","621","456","125 St"
"126","622","6","116 St"
"127","623","6","110 St"
"128","624","6","103 St"
"129","625","6","96 St"
"130","626","456","86 St"
"131","627","6","77 St"
"132","628","6","68 St - Hunter College"
"133","629","456FNR","59 St"
"134","630","6EM","51 St"
"135","631","4567GS","Grand Central - 42 St"
"136","632","6","33 St"
"137","633","6","28 St"
"138","634","6","23 St"
"139","635","456LNQR","14 St - Union Sq"
"140","635","456LNQR","Union Sq - 14 St"
"141","636","6","Astor Pl"
"142","637","6BDFM","Bleecker St"
"143","638","6","Spring St"
"144","639","6JNQRZ","Canal St"
"145","640","456JZ","Brooklyn Bridge - City Hall"
"146","701","7","Flushing - Main St"
"147","702","7","Mets - Willets Point"
"148","705","7","111 St"
"149","706","7","103 St - Corona Plaza"
"150","707","7","Junction Blvd"
"151","708","7","90 St - Elmhurst Av"
"152","709","7","82 St - Jackson Hts"
"153","710","7EFMR","74 St - Broadway"
"154","711","7","69 St"
"155","712","7","Woodside - 61 St"
"156","713","7","52 St"
"157","714","7","46 St"
"158","715","7","40 St"
"159","716","7","33 St"
"160","718","7N","Queensboro Plaza"
"161","719","7EGM","Court Sq"
"162","720","7","Hunters Point Av"
"163","721","7","Vernon Blvd - Jackson Av"
"164","724","7BDFM","5 Ave-Bryant Pk"
"165","A02","A","Inwood - 207 St"
"166","A03","A","Dyckman St"
"167","A05","A","190 St"
"168","A06","A","181 St"
"169","A07","A","175 St"
"170","A09","1AC","168 St"
"171","A10","AC","163 St - Amsterdam Av"
"172","A11","AC","155 St"
"173","A12","ABCD","145 St"
"174","A14","ABC","135 St"
"175","A15","ABCD","125 St"
"176","A16","ABC","116 St"
"177","A17","ABC","Cathedral Pkwy (110 St)"
"178","A18","ABC","103 St"
"179","A19","ABC","96 St"
"180","A20","ABC","86 St"
"181","A21","ABC","81 St - Museum of Natural History"
"182","A22","ABC","72 St"
"183","A25","ACE","50 St"
"184","A27","1237ACEGNQRS","42 St - Port Authority Bus Terminal"
"185","A28","ACE","34 St - Penn Station"
"186","A30","ACE","23 St"
"187","A31","ACEL","14 St"
"188","A32","ABCDEFM","W 4 St"
"189","A33","ACE","Spring St"
"190","A34","ACE","Canal St"
"191","A36","23ACE","Chambers St"
"192","A40","AC","High St"
"193","A41","ACFNR","Jay St - MetroTech"
"194","A42","ACG","Hoyt - Schermerhorn Sts"
"195","A43","AC","Lafayette Av"
"196","A44","AC","Clinton - Washington Avs"
"197","A45","ACFS","Franklin Av"
"198","A46","AC","Nostrand Av"
"199","A47","AC","Kingston - Throop Avs"
"200","A48","AC","Utica Av"
"201","A49","AC","Ralph Av"
"202","A50","AC","Rockaway Av"
"203","A51","ACJLZ","Broadway Jct"
"204","A52","AC","Liberty Av"
"205","A53","AC","Van Siclen Av"
"206","A54","AC","Shepherd Av"
"207","A55","AC","Euclid Av"
"208","A57","A","Grant Av"
"209","A59","A","80 St"
"210","A60","A","88 St"
"211","A61","A","Rockaway Blvd"
"212","B04","F","21 St"
"213","B06","F","Roosevelt Island"
"214","B08","456FNR","Lexington Ave"
"215","B10","F","57 St"
"216","B12","D","9 Av"
"217","B13","D","Fort Hamilton Pkwy"
"218","B14","D","50 St"
"219","B15","D","55 St"
"220","B16","DN","New Utrecht Ave"
"221","B17","D","71 St"
"222","B18","D","79 St"
"223","B19","D","18 Av"
"224","B20","D","20 Av"
"225","B21","D","Bay Pkwy"
"226","B22","D","25 Av"
"227","B23","D","Bay 50 St"
"228","D01","D","Norwood - 205 St"
"229","D03","BD","Bedford Park Blvd"
"230","D04","BD","Kingsbridge Rd"
"231","D05","BD","Fordham Rd"
"232","D06","BD","182-183 Sts"
"233","D07","BD","Tremont Av"
"234","D08","BD","174-175 Sts"
"235","D09","BD","170 St"
"236","D10","BD","167 St"
"237","D12","BD","155 St"
"238","D14","BDE","7 Av"
"239","D15","BDFM","47-50 Sts - Rockefeller Ctr"
"240","D16","7BDFM","42 St - Bryant Pk"
"241","D17","BDFMNQR","34 St - Herald Sq"
"242","D18","FM","23 St"
"243","D21","6BDFM","Broadway/Lafay"
"244","D22","BD","Grand St"
"245","D25","BQ","7 Av"
"246","D26","BFQS","Prospect Park"
"247","D27","Q","Parkside Av"
"248","D28","BQ","Church Av"
"249","D29","Q","Beverley Rd"
"250","D30","Q","Cortelyou Rd"
"251","D31","BQ","Newkirk Plaza"
"252","D32","Q","Avenue H"
"253","D33","Q","Avenue J"
"254","D34","Q","Avenue M"
"255","D35","BQ","Kings Hwy"
"256","D37","Q","Avenue U"
"257","D38","Q","Neck Rd"
"258","D39","BQ","Sheepshead Bay"
"259","D40","BQ","Brighton Beach"
"260","D41","Q","Ocean Pkwy"
"261","D42","FQ","W 8 St - NY Aquarium"
"262","D43","DFNQ","Coney Island - Stillwell Av"
"263","E01","23ACE","World Trade Center"
"264","F01","F","Jamaica - 179 St"
"265","F02","F","169 St"
"266","F03","F","Parsons Blvd"
"267","F04","F","Sutphin Blvd"
"268","F05","EF","Briarwood - Van Wyck Blvd"
"269","F06","EF","Kew Gardens - Union Tpke"
"270","F07","EF","75 Av"
"271","F11","6EM","Lexington Av/53 St"
"272","F12","EM","5 Av/53 St"
"273","F14","F","2 Av"
"274","F15","FJMZ","Delancey St"
"275","F16","F","East Broadway"
"276","F18","F","York St"
"277","F20","FG","Bergen St"
"278","F21","FG","Carroll St"
"279","F22","FG","Smith - 9 Sts"
"280","F23","DFGNR","4 Av"
"281","F24","FG","7 Av"
"282","F25","FG","15 St - Prospect Park"
"283","F26","FG","Fort Hamilton Pkwy"
"284","F27","FG","Church Av"
"285","F29","F","Ditmas Av"
"286","F30","F","18 Av"
"287","F31","F","Avenue I"
"288","F32","F","Bay Pkwy"
"289","F33","F","Avenue N"
"290","F34","F","Avenue P"
"291","F35","F","Kings Hwy"
"292","F36","F","Avenue U"
"293","F38","F","Avenue X"
"294","F39","F","Neptune Av"
"295","G05","EJZ","Jamaica Center - Parsons/Archer"
"296","G06","EJZ","Sutphin Blvd"
"297","G07","E","Jamaica - Van Wyck"
"298","G08","EFMR","Forest Hills - 71 Av"
"299","G09","EMR","67 Av"
"300","G10","EMR","63 Dr - Rego Park"
"301","G11","EMR","Woodhaven Blvd"
"302","G12","EMR","Grand Av - Newtown"
"303","G13","EMR","Elmhurst Av"
"304","G14","7EFMR","Roosevelt Ave"
"305","G15","EMR","65 St"
"306","G16","EMR","Northern Blvd"
"307","G18","EMR","46 St"
"308","G19","EMR","Steinway St"
"309","G20","EMR","36 St"
"310","G21","EMR","Queens Plaza"
"311","G24","G","21 St"
"312","G26","G","Greenpoint Av"
"313","G28","G","Nassau Av"
"314","G29","GL","Metropolitan Av"
"315","G30","G","Broadway"
"316","G31","G","Flushing Av"
"317","G32","G","Myrtle - Willoughby Avs"
"318","G33","G","Bedford - Nostrand Avs"
"319","G34","G","Classon Av"
"320","G35","G","Clinton - Washington Avs"
"321","G36","G","Fulton St"
"322","H01","A","Aqueduct Racetrack"
"323","H02","A","Aqueduct - N Conduit Av"
"324","H03","A","Howard Beach - JFK Airport"
"325","H04","AS","Broad Channel"
"326","H06","A","Beach 67 St"
"327","H07","A","Beach 60 St"
"328","H08","A","Beach 44 St"
"329","H09","A","Beach 36 St"
"330","H10","A","Beach 25 St"
"331","H11","A","Far Rockaway - Mott Av"
"332","H12","AS","Beach 90 St"
"333","H13","AS","Beach 98 St"
"334","H14","AS","Beach 105 St"
"335","H15","AS","Rockaway Park - Beach 116 St"
"336","J12","JZ","121 St"
"337","J13","J","111 St"
"338","J14","JZ","104 St"
"339","J15","JZ","Woodhaven Blvd"
"340","J16","J","85 St - Forest Pkwy"
"341","J17","JZ","75 St"
"342","J19","J","Cypress Hills"
"343","J20","JZ","Crescent St"
"344","J21","JZ","Norwood Av"
"345","J22","J","Cleveland St"
"346","J23","JZ","Van Siclen Av"
"347","J24","JZ","Alabama Av"
"348","J28","JZ","Chauncey St"
"349","J29","J","Halsey St"
"350","J30","JZ","Gates Av"
"351","J31","J","Kosciuszko St"
"352","L01","ACEL","8 Av"
"353","L02","123FLM","6 Av"
"354","L05","L","3 Av"
"355","L06","L","1 Av"
"356","L08","L","Bedford Av"
"357","L10","GL","Lorimer St"
"358","L11","L","Graham Av"
"359","L12","L","Grand St"
"360","L13","L","Montrose Av"
"361","L14","L","Morgan Av"
"362","L15","L","Jefferson St"
"363","L16","L","DeKalb Av"
"364","L17","LM","Myrtle Ave"
"365","L19","L","Halsey St"
"366","L20","L","Wilson Av"
"367","L21","L","Bushwick Av - Aberdeen St"
"368","L24","L","Atlantic Av"
"369","L25","L","Sutter Av"
"370","L26","34L","Livonia Av"
"371","L27","L","New Lots Av"
"372","L28","L","East 105 St"
"373","L29","L","Canarsie - Rockaway Pkwy"
"374","M01","M","Metropolitan Av"
"375","M04","M","Fresh Pond Rd"
"376","M05","M","Forest Av"
"377","M06","M","Seneca Av"
"378","M09","M","Knickerbocker Av"
"379","M10","M","Central Av"
"380","M11","JMZ","Myrtle Av"
"381","M12","JM","Flushing Av"
"382","M13","JM","Lorimer St"
"383","M14","JM","Hewes St"
"384","M16","JMZ","Marcy Av"
"385","M18","FJMZ","Essex St"
"386","M19","JZ","Bowery"
"387","M21","456JZ","Chambers St"
"388","M23","JZ","Broad St"
"389","N02","N","8 Av"
"390","N03","N","Fort Hamilton Pkwy"
"391","N04","DN","New Utrecht Av"
"392","N05","N","18 Av"
"393","N06","N","20 Av"
"394","N07","N","Bay Pky-22 Ave"
"395","N08","N","Kings Hwy"
"396","N09","N","Avenue U"
"397","N10","N","86 St"
"398","R01","NQ","Astoria - Ditmars Blvd"
"399","R03","NQ","Astoria Blvd"
"400","R04","NQ","30 Av"
"401","R05","NQ","Broadway-31 St"
"402","R06","NQ","36 Av"
"403","R08","N","39 Av"
"404","R11","456FNR","Lexington Av/59 St"
"405","R13","NR","5 Av/59 St"
"406","R14","NQR","57 St - 7 Av"
"407","R15","NQR","49 St"
"408","R18","NQR","28 St"
"409","R19","NQR","23 St"
"410","R21","NQR","8 St - NYU"
"411","R22","NQR","Prince St"
"412","R24","NR","City Hall"
"413","R25","NR","Cortlandt St"
"414","R26","NR","Rector St"
"415","R27","1NR","Whitehall St"
"416","R28","2345NR","Borough Hall/Ct"
"417","R30","BDNQR","DeKalb Av"
"418","R32","DNR","Union St"
"419","R33","DFGNR","9 St"
"420","R34","DNR","Prospect Av"
"421","R35","DNR","25 St"
"422","R36","DNR","36 St"
"423","R39","NR","45 St"
"424","R40","NR","53 St"
"425","R41","NR","59 St"
"426","R42","R","Bay Ridge Av"
"427","R43","R","77 St"
"428","R44","R","86 St"
"429","R45","R","Bay Ridge - 95 St"
"430","S03","FS","Park Pl"
"431","S04","2345FS","Botanic Garden"
