,train,train_stop,stop_id,station,time_travel,stop,line_name,station_id
1,1,101,101,"Van Cortlandt Park - 242 St"101,0,01,1,101
2,1,102,103,"238 St"103,90,02,1,103
3,1,103,104,"231 St"104,90,03,1,104
4,1,104,106,"Marble Hill - 225 St"106,90,04,1,106
5,1,105,107,"215 St"107,90,05,1,107
6,1,106,108,"207 St"108,60,06,1,108
7,1,107,109,"Dyckman St"109,90,07,1,109
8,1,108,110,"191 St"110,90,08,1,110
9,1,109,111,"181 St"111,90,09,1,111
10,1,1010,112,"168 St - Washington Hts"112,120,010,1AC,112
11,1,1011,113,"157 St"113,90,011,1,113
12,1,1012,114,"145 St"114,120,012,1,114
13,1,1013,115,"137 St - City College"115,90,013,1,115
14,1,1014,116,"125 St"116,90,014,1,116
15,1,1015,117,"116 St - Columbia University"117,150,015,1,117
16,1,1016,118,"Cathedral Pkwy"118,60,016,1,118
17,1,1017,119,"103 St"119,60,017,1,119
18,1,1018,120,"96 St"120,120,018,123,120
19,1,1019,121,"86 St"121,120,019,1,121
20,1,1020,122,"79 St"122,60,020,1,122
21,1,1021,123,"72 St"123,90,021,123,123
22,1,1022,124,"66 St - Lincoln Center"124,90,022,1,124
23,1,1023,125,"59 St - Columbus Circle"125,90,023,1ABCD,125
24,1,1024,126,"50 St"126,120,024,1,126
25,1,1025,127,"Times Sq - 42 St"127,90,025,1237ACEGNQRS,127
26,1,1026,128,"34 St - Penn Station"128,90,026,123,128
27,1,1027,129,"28 St"129,90,027,1,129
28,1,1028,130,"23 St"130,60,028,1,130
29,1,1029,131,"18 St"131,60,029,1,131
30,1,1030,132,"14 St"132,60,030,123FLM,132
31,1,1031,133,"Christopher St - Sheridan Sq"133,90,031,1,133
32,1,1032,134,"Houston St"134,90,032,1,134
33,1,1033,135,"Canal St"135,90,033,1,135
34,1,1034,136,"Franklin St"136,60,034,1,136
35,1,1035,137,"Chambers St"137,210,035,123,137
36,1,1037,139,"Rector St"139,150,037,1,139
37,1,1038,140,"South Ferry Loop"140,210,038,1NR,140
38,2,201,201,"Wakefield - 241 St"201,0,01,2,201
39,2,202,204,"Nereid Av"204,90,02,25,204
40,2,203,205,"233 St"205,90,03,25,205
41,2,204,206,"225 St"206,90,04,25,206
42,2,205,207,"219 St"207,60,05,25,207
43,2,206,208,"Gun Hill Rd"208,90,06,25,208
44,2,207,209,"Burke Av"209,90,07,25,209
45,2,208,210,"Allerton Av"210,90,08,25,210
46,2,209,211,"Pelham Pkwy"211,120,09,25,211
47,2,2010,212,"Bronx Park East"212,120,010,25,212
48,2,2011,213,"E 180 St"213,120,011,25,213
49,2,2012,214,"West Farms Sq - E Tremont Av"214,90,012,2,214
50,2,2013,215,"174 St"215,120,013,2,215
51,2,2014,216,"Freeman St"216,120,014,2,216
52,2,2015,217,"Simpson St"217,120,015,2,217
53,2,2016,218,"Intervale Av"218,60,016,2,218
54,2,2017,219,"Prospect Av"219,60,017,2,219
55,2,2018,220,"Jackson Av"220,90,018,2,220
56,2,2019,221,"3 Av - 149 St"221,150,019,25,221
57,2,2020,222,"149 St - Grand Concourse"222,120,020,245,222
58,2,2021,224,"135 St"224,210,021,23,224
59,2,2022,225,"125 St"225,120,022,23,225
60,2,2023,226,"116 St"226,90,023,23,226
61,2,2024,227,"Central Park North (110 St)"227,60,024,23,227
62,2,2025,120,"96 St"120,270,025,123,120
63,2,2026,123,"72 St"123,180,026,123,123
64,2,2027,127,"Times Sq - 42 St"127,270,027,1237ACEGNQRS,127
65,2,2028,128,"34 St - Penn Station"128,60,028,123,128
66,2,2029,132,"14 St"132,180,029,123FLM,132
67,2,2030,137,"Chambers St"137,270,030,123,137
68,2,2031,228,"Park Pl"228,90,031,23ACE,228
69,2,2032,229,"Fulton St"229,120,032,2345ACJZ,229
70,2,2033,230,"Wall St"230,90,033,23,230
71,2,2034,231,"Clark St"231,270,034,23,231
72,2,2035,232,"Borough Hall"232,90,035,2345NR,232
73,2,2036,233,"Hoyt St"233,90,036,23,233
74,2,2037,234,"Nevins St"234,60,037,2345,234
75,2,2038,235,"Atlantic Av - Barclays Ctr"235,90,038,2345BDNQR,235
76,2,2039,236,"Bergen St"236,60,039,234,236
77,2,2040,237,"Grand Army Plaza"237,120,040,234,237
78,2,2041,238,"Eastern Pkwy - Brooklyn Museum"238,120,041,234,238
79,2,2042,239,"Franklin Av"239,90,042,2345FS,239
80,2,2043,241,"President St"241,180,043,2,241
81,2,2044,242,"Sterling St"242,90,044,25,242
82,2,2045,243,"Winthrop St"243,90,045,25,243
83,2,2046,244,"Church Av"244,330,046,25,244
84,2,2047,245,"Beverly Rd"245,330,047,25,245
85,2,2048,246,"Newkirk Av"246,90,048,25,246
86,2,2049,247,"Flatbush Av - Brooklyn College"247,150,049,25,247
87,3,301,301,"Harlem - 148 St"301,0,01,3,301
88,3,302,302,"145 St"302,120,02,3,302
89,3,303,224,"135 St"224,120,03,23,224
90,3,304,225,"125 St"225,120,04,23,225
91,3,305,226,"116 St"226,90,05,23,226
92,3,306,227,"Central Park North (110 St)"227,60,06,23,227
93,3,307,120,"96 St"120,270,07,123,120
94,3,308,123,"72 St"123,180,08,123,123
95,3,309,127,"Times Sq - 42 St"127,270,09,1237ACEGNQRS,127
96,3,3010,128,"34 St - Penn Station"128,60,010,123,128
97,3,3011,132,"14 St"132,180,011,123FLM,132
98,3,3012,137,"Chambers St"137,270,012,123,137
99,3,3013,228,"Park Pl"228,90,013,23ACE,228
100,3,3014,229,"Fulton St"229,120,014,2345ACJZ,229
101,3,3015,230,"Wall St"230,90,015,23,230
102,3,3016,231,"Clark St"231,270,016,23,231
103,3,3017,232,"Borough Hall"232,90,017,2345NR,232
104,3,3018,233,"Hoyt St"233,90,018,23,233
105,3,3019,234,"Nevins St"234,60,019,2345,234
106,3,3020,235,"Atlantic Av - Barclays Ctr"235,90,020,2345BDNQR,235
107,3,3021,236,"Bergen St"236,60,021,234,236
108,3,3022,237,"Grand Army Plaza"237,120,022,234,237
109,3,3023,238,"Eastern Pkwy - Brooklyn Museum"238,120,023,234,238
110,3,3024,239,"Franklin Av"239,150,024,2345FS,239
111,3,3025,248,"Nostrand Av"248,150,025,34,248
112,3,3026,249,"Kingston Av"249,90,026,34,249
113,3,3027,250,"Crown Hts - Utica Av"250,330,027,345,250
114,3,3028,251,"Sutter Av - Rutland Rd"251,390,028,34,251
115,3,3029,252,"Saratoga Av"252,90,029,34,252
116,3,3030,253,"Rockaway Av"253,120,030,34,253
117,3,3031,254,"Junius St"254,60,031,34L,254
118,3,3032,255,"Pennsylvania Av"255,120,032,34,255
119,3,3033,256,"Van Siclen Av"256,60,033,34,256
120,3,3034,257,"New Lots Av"257,90,034,34,257
121,4,401,401,"Woodlawn"401,0,01,4,401
122,4,402,402,"Mosholu Pkwy"402,120,02,4,402
123,4,403,405,"Bedford Park Blvd - Lehman College"405,120,03,4,405
124,4,404,406,"Kingsbridge Rd"406,120,04,4,406
125,4,405,407,"Fordham Rd"407,90,05,4,407
126,4,406,408,"183 St"408,60,06,4,408
127,4,407,409,"Burnside Av"409,90,07,4,409
128,4,408,410,"176 St"410,90,08,4,410
129,4,409,411,"Mt Eden Av"411,90,09,4,411
130,4,4010,412,"170 St"412,90,010,4,412
131,4,4011,413,"167 St"413,90,011,4,413
132,4,4012,414,"161 St - Yankee Stadium"414,150,012,4BD,414
133,4,4013,415,"149 St - Grand Concourse"222,180,013,245,222
134,4,4014,416,"138 St - Grand Concourse"416,120,014,45,416
135,4,4015,621,"125 St"621,180,015,456,621
136,4,4016,626,"86 St"626,270,016,456,626
137,4,4017,629,"59 St"629,240,017,456FNR,629
138,4,4018,631,"Grand Central - 42 St"631,180,018,4567GS,631
139,4,4019,635,"14 St - Union Sq"635,270,019,456LNQR,635
140,4,4020,640,"Brooklyn Bridge - City Hall"640,330,020,456JZ,640
141,4,4021,418,"Fulton St"229,120,021,2345ACJZ,229
142,4,4022,419,"Wall St"419,60,022,45,419
143,4,4023,420,"Bowling Green"420,90,023,45,420
144,4,4024,423,"Borough Hall"232,330,024,2345NR,232
145,4,4025,234,"Nevins St"234,120,025,2345,234
146,4,4026,235,"Atlantic Av - Barclays Ctr"235,90,026,2345BDNQR,235
147,4,4027,239,"Franklin Av"239,240,027,2345FS,239
148,4,4028,250,"Crown Hts - Utica Av"250,210,028,345,250
149,4,4029,251,"Sutter Av - Rutland Rd"251,180,029,34,251
150,4,4030,252,"Saratoga Av"252,90,030,34,252
151,4,4031,253,"Rockaway Av"253,120,031,34,253
152,4,4032,254,"Junius St"254,60,032,34L,254
153,4,4033,255,"Pennsylvania Av"255,120,033,34,255
154,4,4034,256,"Van Siclen Av"256,60,034,34,256
155,4,4035,257,"New Lots Av"257,90,035,34,257
156,5,501,501,"Eastchester - Dyre Av"501,0,01,5,501
157,5,502,502,"Baychester Av"502,120,02,5,502
158,5,503,503,"Gun Hill Rd"503,150,03,5,503
159,5,504,504,"Pelham Pkwy"504,150,04,5,504
160,5,505,505,"Morris Park"505,60,05,5,505
161,5,506,213,"E 180 St"213,210,06,25,213
162,5,507,214,"West Farms Sq - E Tremont Av"214,90,07,2,214
163,5,508,215,"174 St"215,120,08,2,215
164,5,509,216,"Freeman St"216,120,09,2,216
165,5,5010,217,"Simpson St"217,120,010,2,217
166,5,5011,218,"Intervale Av"218,60,011,2,218
167,5,5012,219,"Prospect Av"219,60,012,2,219
168,5,5013,220,"Jackson Av"220,90,013,2,220
169,5,5014,221,"3 Av - 149 St"221,150,014,25,221
170,5,5015,222,"149 St - Grand Concourse"222,120,015,245,222
171,5,5016,416,"138 St - Grand Concourse"416,180,016,45,416
172,5,5017,621,"125 St"621,180,017,456,621
173,5,5018,626,"86 St"626,300,018,456,626
174,5,5019,629,"59 St"629,240,019,456FNR,629
175,5,5020,631,"Grand Central - 42 St"631,150,020,4567GS,631
176,5,5021,635,"14 St - Union Sq"635,240,021,456LNQR,635
177,5,5022,640,"Brooklyn Bridge - City Hall"640,270,022,456JZ,640
178,5,5023,418,"Fulton St"229,120,023,2345ACJZ,229
179,5,5024,419,"Wall St"419,60,024,45,419
180,5,5025,420,"Bowling Green"420,90,025,45,420
181,5,5026,423,"Borough Hall"232,300,026,2345NR,232
182,5,5027,234,"Nevins St"234,120,027,2345,234
183,5,5028,235,"Atlantic Av - Barclays Ctr"235,90,028,2345BDNQR,235
184,5,5029,239,"Franklin Av"239,240,029,2345FS,239
185,5,5030,241,"President St"241,180,030,2,241
186,5,5031,242,"Sterling St"242,90,031,25,242
187,5,5032,243,"Winthrop St"243,90,032,25,243
188,5,5033,244,"Church Av"244,330,033,25,244
189,5,5034,245,"Beverly Rd"245,330,034,25,245
190,5,5035,246,"Newkirk Av"246,90,035,25,246
191,5,5036,247,"Flatbush Av - Brooklyn College"247,150,036,25,247
192,6,601,640,"Brooklyn Bridge - City Hall"640,0,01,456JZ,640
193,6,602,639,"Canal St"639,120,02,6JNQRZ,639
194,6,603,638,"Spring St"638,90,03,6,638
195,6,604,637,"Bleecker St"637,60,04,6BDFM,637
196,6,605,636,"Astor Pl"636,90,05,6,636
197,6,606,635,"14 St - Union Sq"635,90,06,456LNQR,635
198,6,607,634,"23 St"634,120,07,6,634
199,6,608,633,"28 St"633,60,08,6,633
200,6,609,632,"33 St"632,60,09,6,632
201,6,6010,631,"Grand Central - 42 St"631,120,010,4567GS,631
202,6,6011,630,"51 St"630,120,011,6EM,630
203,6,6012,629,"59 St"629,90,012,456FNR,629
204,6,6013,628,"68 St - Hunter College"628,90,013,6,628
205,6,6014,627,"77 St"627,120,014,6,627
206,6,6015,626,"86 St"626,90,015,456,626
207,6,6016,625,"96 St"625,120,016,6,625
208,6,6017,624,"103 St"624,90,017,6,624
209,6,6018,623,"110 St"623,60,018,6,623
210,6,6019,622,"116 St"622,90,019,6,622
211,6,6020,621,"125 St"621,90,020,456,621
212,6,6021,619,"3 Av - 138 St"619,180,021,6,619
213,6,6022,618,"Brook Av"618,90,022,6,618
214,6,6023,617,"Cypress Av"617,60,023,6,617
215,6,6024,616,"E 143 St - St Mary's St"616,120,024,6,616
216,6,6025,615,"E 149 St"615,90,025,6,615
217,6,6026,614,"Longwood Av"614,90,026,6,614
218,6,6027,613,"Hunts Point Av"613,120,027,6,613
219,6,6028,612,"Whitlock Av"612,120,028,6,612
220,6,6029,611,"Elder Av"611,90,029,6,611
221,6,6030,610,"Morrison Av- Sound View"610,60,030,6,610
222,6,6031,609,"St Lawrence Av"609,90,031,6,609
223,6,6032,608,"Parkchester"608,90,032,6,608
224,6,6033,607,"Castle Hill Av"607,90,033,6,607
225,6,6035,604,"Westchester Sq - E Tremont Av"604,60,035,6,604
226,6,6036,603,"Middletown Rd"603,90,036,6,603
227,6,6038,601,"Pelham Bay Park"601,150,038,6,601
228,6X,6X01,601,"Pelham Bay Park"601,0,01,6,601
229,6X,6X03,603,"Middletown Rd"603,90,03,6,603
230,6X,6X04,604,"Westchester Sq - E Tremont Av"604,90,04,6,604
231,6X,6X06,607,"Castle Hill Av"607,60,06,6,607
232,6X,6X07,608,"Parkchester"608,120,07,6,608
233,6X,6X08,609,"St Lawrence Av"609,90,08,6,609
234,6X,6X09,610,"Morrison Av- Sound View"610,90,09,6,610
235,6X,6X010,611,"Elder Av"611,60,010,6,611
236,6X,6X011,612,"Whitlock Av"612,120,011,6,612
237,6X,6X012,613,"Hunts Point Av"613,120,012,6,613
238,6X,6X013,619,"3 Av - 138 St"619,420,013,6,619
239,6X,6X014,621,"125 St"621,180,014,456,621
240,6X,6X015,622,"116 St"622,90,015,6,622
241,6X,6X016,623,"110 St"623,90,016,6,623
242,6X,6X017,624,"103 St"624,60,017,6,624
243,6X,6X018,625,"96 St"625,90,018,6,625
244,6X,6X019,626,"86 St"626,120,019,456,626
245,6X,6X020,627,"77 St"627,120,020,6,627
246,6X,6X021,628,"68 St - Hunter College"628,120,021,6,628
247,6X,6X022,629,"59 St"629,90,022,456FNR,629
248,6X,6X023,630,"51 St"630,120,023,6EM,630
249,6X,6X024,631,"Grand Central - 42 St"631,120,024,4567GS,631
250,6X,6X025,632,"33 St"632,120,025,6,632
251,6X,6X026,633,"28 St"633,60,026,6,633
252,6X,6X027,634,"23 St"634,60,027,6,634
253,6X,6X028,635,"14 St - Union Sq"635,120,028,456LNQR,635
254,6X,6X029,636,"Astor Pl"636,60,029,6,636
255,6X,6X030,637,"Bleecker St"637,90,030,6BDFM,637
256,6X,6X031,638,"Spring St"638,60,031,6,638
257,6X,6X032,639,"Canal St"639,90,032,6JNQRZ,639
258,6X,6X033,640,"Brooklyn Bridge - City Hall"640,120,033,456JZ,640
259,7,701,725,"Times Sq - 42 St"127,0,01,1237ACEGNQRS,127
260,7,702,724,"5 Av"724,90,02,7BDFM,724
261,7,703,723,"Grand Central - 42 St"631,90,03,4567GS,631
262,7,704,721,"Vernon Blvd - Jackson Av"721,270,04,7,721
263,7,705,720,"Hunters Point Av"720,60,05,7,720
264,7,706,719,"Court Sq"719,120,06,7EGM,719
265,7,707,718,"Queensboro Plaza"718,90,07,7N,718
266,7,708,716,"33 St"716,150,08,7,716
267,7,709,715,"40 St"715,60,09,7,715
268,7,7010,714,"46 St"714,60,010,7,714
269,7,7011,713,"52 St"713,60,011,7,713
270,7,7012,712,"Woodside - 61 St"712,120,012,7,712
271,7,7013,711,"69 St"711,120,013,7,711
272,7,7014,710,"74 St - Broadway"710,90,014,7EFMR,710
273,7,7015,709,"82 St - Jackson Hts"709,60,015,7,709
274,7,7016,708,"90 St - Elmhurst Av"708,60,016,7,708
275,7,7017,707,"Junction Blvd"707,90,017,7,707
276,7,7018,706,"103 St - Corona Plaza"706,60,018,7,706
277,7,7019,705,"111 St"705,60,019,7,705
278,7,7020,702,"Mets - Willets Point"702,150,020,7,702
279,7,7021,701,"Flushing - Main St"701,210,021,7,701
280,7X,7X01,725,"Times Sq - 42 St"127,0,01,1237ACEGNQRS,127
281,7X,7X02,724,"5 Av"724,90,02,7BDFM,724
282,7X,7X03,723,"Grand Central - 42 St"631,90,03,4567GS,631
283,7X,7X04,721,"Vernon Blvd - Jackson Av"721,300,04,7,721
284,7X,7X05,720,"Hunters Point Av"720,60,05,7,720
285,7X,7X06,719,"Court Sq"719,120,06,7EGM,719
286,7X,7X07,718,"Queensboro Plaza"718,90,07,7N,718
287,7X,7X08,712,"Woodside - 61 St"712,330,08,7,712
288,7X,7X09,707,"Junction Blvd"707,240,09,7,707
289,7X,7X010,702,"Mets - Willets Point"702,300,010,7,702
290,7X,7X011,701,"Flushing - Main St"701,300,011,7,701
291,A,A01,H11,"Far Rockaway - Mott Av"H11,0,01,A,H11
292,A,A02,H10,"Beach 25 St"H10,90,02,A,H10
293,A,A03,H09,"Beach 36 St"H09,120,03,A,H09
294,A,A04,H08,"Beach 44 St"H08,90,04,A,H08
295,A,A05,H07,"Beach 60 St"H07,120,05,A,H07
296,A,A06,H06,"Beach 67 St"H06,90,06,A,H06
297,A,A07,H04,"Broad Channel"H04,240,07,AH,H04
298,A,A08,H03,"Howard Beach - JFK Airport"H03,390,08,A,H03
299,A,A09,H02,"Aqueduct - N Conduit Av"H02,120,09,A,H02
300,A,A010,H01,"Aqueduct Racetrack"H01,60,010,A,H01
301,A,A011,A61,"Rockaway Blvd"A61,180,011,A,A61
302,A,A012,A60,"88 St"A60,90,012,A,A60
303,A,A013,A59,"80 St"A59,90,013,A,A59
304,A,A014,A57,"Grant Av"A57,90,014,A,A57
305,A,A015,A55,"Euclid Av"A55,90,015,AC,A55
306,A,A016,A51,"Broadway Jct"A51,240,016,ACJLZ,A51
307,A,A017,A48,"Utica Av"A48,210,017,AC,A48
308,A,A018,A46,"Nostrand Av"A46,180,018,AC,A46
309,A,A019,A42,"Hoyt - Schermerhorn Sts"A42,300,019,ACG,A42
310,A,A020,A41,"Jay St - MetroTech"A41,90,020,ACFNR,A41
311,A,A021,A40,"High St"A40,120,021,AC,A40
312,A,A022,A38,"Fulton St"229,180,022,2345ACJZ,229
313,A,A023,A36,"Chambers St"A36,120,023,23ACE,A36
314,A,A024,A34,"Canal St"A34,90,024,ACE,A34
315,A,A025,A32,"W 4 St"A32,150,025,ABCDEFM,A32
316,A,A026,A31,"14 St"A31,150,026,ACEL,A31
317,A,A027,A28,"34 St - Penn Station"A28,180,027,ACE,A28
318,A,A028,A27,"42 St - Port Authority Bus Terminal"A27,90,028,1237ACEGNQRS,A27
319,A,A029,A24,"59 St - Columbus Circle"125,180,029,1ABCD,125
320,A,A030,A15,"125 St"A15,480,030,ABCD,A15
321,A,A031,A12,"145 St"A12,180,031,ABCD,A12
322,A,A032,A09,"168 St"A09,180,032,1AC,A09
323,A,A033,A07,"175 St"A07,120,033,A,A07
324,A,A034,A06,"181 St"A06,60,034,A,A06
325,A,A035,A05,"190 St"A05,120,035,A,A05
326,A,A036,A03,"Dyckman St"A03,150,036,A,A03
327,A,A037,A02,"Inwood - 207 St"A02,120,037,A,A02
328,B,B01,D03,"Bedford Park Blvd"D03,0,01,BD,D03
329,B,B02,D04,"Kingsbridge Rd"D04,120,02,BD,D04
330,B,B03,D05,"Fordham Rd"D05,120,03,BD,D05
331,B,B04,D06,"182-183 Sts"D06,90,04,BD,D06
332,B,B05,D07,"Tremont Av"D07,90,05,BD,D07
333,B,B06,D08,"174-175 Sts"D08,90,06,BD,D08
334,B,B07,D09,"170 St"D09,150,07,BD,D09
335,B,B08,D10,"167 St"D10,120,08,BD,D10
336,B,B09,D11,"161 St - Yankee Stadium"414,150,09,4BD,414
337,B,B010,D12,"155 St"D12,90,010,BD,D12
338,B,B011,D13,"145 St"A12,90,011,ABCD,A12
339,B,B012,A14,"135 St"A14,120,012,ABC,A14
340,B,B013,A15,"125 St"A15,180,013,ABCD,A15
341,B,B014,A16,"116 St"A16,180,014,ABC,A16
342,B,B015,A17,"Cathedral Pkwy (110 St)"A17,90,015,ABC,A17
343,B,B016,A18,"103 St"A18,60,016,ABC,A18
344,B,B017,A19,"96 St"A19,90,017,ABC,A19
345,B,B018,A20,"86 St"A20,90,018,ABC,A20
346,B,B019,A21,"81 St - Museum of Natural History"A21,90,019,ABC,A21
347,B,B020,A22,"72 St"A22,90,020,ABC,A22
348,B,B021,A24,"59 St - Columbus Circle"125,90,021,1ABCD,125
349,B,B022,D14,"7 Av"D14,120,022,BDE,D14
350,B,B023,D15,"47-50 Sts - Rockefeller Ctr"D15,120,023,BDFM,D15
351,B,B024,D16,"42 St - Bryant Pk"D16,90,024,7BDFM,D16
352,B,B025,D17,"34 St - Herald Sq"D17,120,025,BDFMNQR,D17
353,B,B026,D20,"W 4 St"A32,180,026,ABCDEFM,A32
354,B,B027,D21,"Broadway-Lafayette St"D21,120,027,6BDFM,D21
355,B,B028,D22,"Grand St"D22,120,028,BD,D22
356,B,B029,R30,"DeKalb Av"R30,510,029,BDNQR,R30
357,B,B030,D24,"Atlantic Av - Barclays Ctr"235,120,030,2345BDNQR,235
358,B,B031,D25,"7 Av"D25,120,031,BQ,D25
359,B,B032,D26,"Prospect Park"D26,270,032,BFQS,D26
360,B,B033,D28,"Church Av"D28,120,033,BQ,D28
361,B,B034,D31,"Newkirk Plaza"D31,150,034,BQ,D31
362,B,B035,D35,"Kings Hwy"D35,270,035,BQ,D35
363,B,B036,D39,"Sheepshead Bay"D39,300,036,BQ,D39
364,B,B037,D40,"Brighton Beach"D40,120,037,BQ,D40
365,C,C01,A09,"168 St"A09,0,01,1AC,A09
366,C,C02,A10,"163 St - Amsterdam Av"A10,60,02,AC,A10
367,C,C03,A11,"155 St"A11,90,03,AC,A11
368,C,C04,A12,"145 St"A12,90,04,ABCD,A12
369,C,C05,A14,"135 St"A14,120,05,ABC,A14
370,C,C06,A15,"125 St"A15,90,06,ABCD,A15
371,C,C07,A16,"116 St"A16,90,07,ABC,A16
372,C,C08,A17,"Cathedral Pkwy (110 St)"A17,90,08,ABC,A17
373,C,C09,A18,"103 St"A18,60,09,ABC,A18
374,C,C010,A19,"96 St"A19,90,010,ABC,A19
375,C,C011,A20,"86 St"A20,90,011,ABC,A20
376,C,C012,A21,"81 St - Museum of Natural History"A21,90,012,ABC,A21
377,C,C013,A22,"72 St"A22,90,013,ABC,A22
378,C,C014,A24,"59 St - Columbus Circle"125,90,014,1ABCD,125
379,C,C015,A25,"50 St"A25,90,015,ACE,A25
