"","Train","TrainStop","Station","TravelTime","TransferStation","TransferTime"
"1","3","304","""Junius St""254",90,"""Livonia Av""L26",300
"2","3","3011","""Franklin Av""239",90,"""Botanic Garden""S04",180
"3","3","3015","""Atlantic Av - Barclays Ctr""235",60,"""Atlantic Av - Barclays Ctr""D24",180
"4","3","3015","""Atlantic Av - Barclays Ctr""235",60,"""Atlantic Av - Barclays Ctr""R31",180
"5","3","3018","""Borough Hall""232",90,"""Borough Hall""423",300
"6","3","3018","""Borough Hall""232",90,"""Court St""R28",180
"7","3","3021","""Fulton St""229",60,"""Fulton St""418",300
"8","3","3021","""Fulton St""229",60,"""Fulton St""A38",180
"9","3","3021","""Fulton St""229",60,"""Fulton St""M22",300
"10","3","3022","""Park Pl""228",150,"""Chambers St""A36",180
"11","3","3022","""Park Pl""228",150,"""World Trade Center""E01",180
"12","3","3024","""14 St""132",270,"""14 St""D19",300
"13","3","3024","""14 St""132",270,"""6 Av""L02",180
"14","3","3026","""Times Sq - 42 St""127",60,"""Times Sq - 42 St""725",180
"15","3","3026","""Times Sq - 42 St""127",60,"""Times Sq - 42 St""902",180
"16","3","3026","""Times Sq - 42 St""127",60,"""42 St - Port Authority Bus Terminal""A27",300
"17","3","3026","""Times Sq - 42 St""127",60,"""Times Sq - 42 St""R16",180
"18","4","4012","""161 St - Yankee Stadium""414",120,"""161 St - Yankee Stadium""D11",180
"19","4","4013","""149 St - Grand Concourse""415",180,"""149 St - Grand Concourse""222",180
"20","4","4017","""59 St""629",210,"""Lexington Av/63 St""B08",300
"21","4","4017","""59 St""629",210,"""Lexington Av/59 St""R11",180
"22","4","4018","""Grand Central - 42 St""631",150,"""Grand Central - 42 St""723",180
"23","4","4018","""Grand Central - 42 St""631",150,"""Grand Central - 42 St""901",180
"24","4","4019","""14 St - Union Sq""635",210,"""Union Sq - 14 St""L03",180
"25","4","4019","""14 St - Union Sq""635",210,"""14 St - Union Sq""R20",180
"26","4","4020","""Brooklyn Bridge - City Hall""640",270,"""Chambers St""M21",180
"27","4","4021","""Fulton St""418",90,"""Fulton St""229",300
"28","4","4021","""Fulton St""418",90,"""Fulton St""A38",180
"29","4","4021","""Fulton St""418",90,"""Fulton St""M22",300
"30","4","4024","""Borough Hall""423",300,"""Borough Hall""232",300
"31","4","4024","""Borough Hall""423",300,"""Court St""R28",180
"32","4","4026","""Atlantic Av - Barclays Ctr""235",90,"""Atlantic Av - Barclays Ctr""D24",180
"33","4","4026","""Atlantic Av - Barclays Ctr""235",90,"""Atlantic Av - Barclays Ctr""R31",180
"34","4","4030","""Franklin Av""239",90,"""Botanic Garden""S04",180
"35","4","4037","""Junius St""254",60,"""Livonia Av""L26",300
"36","4","4042","""149 St - Grand Concourse""415",120,"""149 St - Grand Concourse""222",180
"37","4","4043","""161 St - Yankee Stadium""414",150,"""161 St - Yankee Stadium""D11",180
"38","5","5012","""149 St - Grand Concourse""222",120,"""149 St - Grand Concourse""415",180
"39","5","5016","""59 St""629",360,"""Lexington Av/63 St""B08",300
"40","5","5016","""59 St""629",360,"""Lexington Av/59 St""R11",180
"41","5","5017","""Grand Central - 42 St""631",240,"""Grand Central - 42 St""723",180
"42","5","5017","""Grand Central - 42 St""631",240,"""Grand Central - 42 St""901",180
"43","5","5018","""14 St - Union Sq""635",300,"""Union Sq - 14 St""L03",180
"44","5","5018","""14 St - Union Sq""635",300,"""14 St - Union Sq""R20",180
"45","5","5019","""Brooklyn Bridge - City Hall""640",360,"""Chambers St""M21",180
"46","5","5020","""Fulton St""418",120,"""Fulton St""229",300
"47","5","5020","""Fulton St""418",120,"""Fulton St""A38",180
"48","5","5020","""Fulton St""418",120,"""Fulton St""M22",300
"49","5","5023","""Borough Hall""423",330,"""Borough Hall""232",300
"50","5","5023","""Borough Hall""423",330,"""Court St""R28",180
"51","5","5025","""Atlantic Av - Barclays Ctr""235",90,"""Atlantic Av - Barclays Ctr""D24",180
"52","5","5025","""Atlantic Av - Barclays Ctr""235",90,"""Atlantic Av - Barclays Ctr""R31",180
"53","5","5026","""Franklin Av""239",300,"""Botanic Garden""S04",180
"54","6","6027","""59 St""629",90,"""Lexington Av/63 St""B08",300
"55","6","6027","""59 St""629",90,"""Lexington Av/59 St""R11",180
"56","6","6028","""51 St""630",90,"""Lexington Av/53 St""F11",180
"57","6","6029","""Grand Central - 42 St""631",120,"""Grand Central - 42 St""723",180
"58","6","6029","""Grand Central - 42 St""631",120,"""Grand Central - 42 St""901",180
"59","6","6033","""14 St - Union Sq""635",120,"""Union Sq - 14 St""L03",180
"60","6","6033","""14 St - Union Sq""635",120,"""14 St - Union Sq""R20",180
"61","6","6035","""Bleecker St""637",90,"""Broadway-Lafayette St""D21",180
"62","6","6037","""Canal St""639",90,"""Canal St""M20",180
"63","6","6037","""Canal St""639",90,"""Canal St""Q01",180
"64","6","6037","""Canal St""639",90,"""Canal St""R23",180
"65","6","6038","""Brooklyn Bridge - City Hall""640",120,"""Chambers St""M21",180
"66","6X","6X018","""59 St""629",120,"""Lexington Av/63 St""B08",300
"67","6X","6X018","""59 St""629",120,"""Lexington Av/59 St""R11",180
"68","6X","6X019","""51 St""630",90,"""Lexington Av/53 St""F11",180
"69","6X","6X020","""Grand Central - 42 St""631",120,"""Grand Central - 42 St""723",180
"70","6X","6X020","""Grand Central - 42 St""631",120,"""Grand Central - 42 St""901",180
"71","6X","6X024","""14 St - Union Sq""635",120,"""Union Sq - 14 St""L03",180
"72","6X","6X024","""14 St - Union Sq""635",120,"""14 St - Union Sq""R20",180
"73","6X","6X026","""Bleecker St""637",90,"""Broadway-Lafayette St""D21",180
"74","6X","6X028","""Canal St""639",90,"""Canal St""M20",180
"75","6X","6X028","""Canal St""639",90,"""Canal St""Q01",180
"76","6X","6X028","""Canal St""639",90,"""Canal St""R23",180
"77","6X","6X029","""Brooklyn Bridge - City Hall""640",120,"""Chambers St""M21",180
"78","6X","6X030","""Bleecker St""637",90,"""Broadway-Lafayette St""D21",180
"79","6X","6X032","""Canal St""639",90,"""Canal St""M20",180
"80","6X","6X032","""Canal St""639",90,"""Canal St""Q01",180
"81","6X","6X032","""Canal St""639",90,"""Canal St""R23",180
"82","6X","6X033","""Brooklyn Bridge - City Hall""640",120,"""Chambers St""M21",180
"83","7","708","""74 St - Broadway""710",60,"""Jackson Hts - Roosevelt Av""G14",180
"84","7","7015","""Queensboro Plaza""718",120,"""Queensboro Plaza""R09",0
"85","7","7016","""Court Sq""719",90,"""Court Sq""F09",300
"86","7","7016","""Court Sq""719",90,"""Court Sq""G22",180
"87","7","7019","""Grand Central - 42 St""723",270,"""Grand Central - 42 St""631",180
"88","7","7019","""Grand Central - 42 St""723",270,"""Grand Central - 42 St""901",300
"89","7","7020","""5 Av""724",90,"""42 St - Bryant Pk""D16",180
"90","7","7021","""Times Sq - 42 St""725",90,"""Times Sq - 42 St""127",180
"91","7","7021","""Times Sq - 42 St""725",90,"""Times Sq - 42 St""902",300
"92","7","7021","""Times Sq - 42 St""725",90,"""42 St - Port Authority Bus Terminal""A27",180
"93","7","7021","""Times Sq - 42 St""725",90,"""Times Sq - 42 St""R16",180
"94","7X","7X05","""Queensboro Plaza""718",360,"""Queensboro Plaza""R09",0
"95","7X","7X06","""Court Sq""719",120,"""Court Sq""F09",300
"96","7X","7X06","""Court Sq""719",120,"""Court Sq""G22",180
"97","7X","7X09","""Grand Central - 42 St""723",330,"""Grand Central - 42 St""631",180
"98","7X","7X09","""Grand Central - 42 St""723",330,"""Grand Central - 42 St""901",300
"99","7X","7X010","""5 Av""724",90,"""42 St - Bryant Pk""D16",180
"100","7X","7X011","""Times Sq - 42 St""725",90,"""Times Sq - 42 St""127",180
"101","7X","7X011","""Times Sq - 42 St""725",90,"""Times Sq - 42 St""902",300
"102","7X","7X011","""Times Sq - 42 St""725",90,"""42 St - Port Authority Bus Terminal""A27",180
"103","7X","7X011","""Times Sq - 42 St""725",90,"""Times Sq - 42 St""R16",180
"104","GS","GS01","""Grand Central - 42 St""901",0,"""Grand Central - 42 St""631",180
"105","GS","GS01","""Grand Central - 42 St""901",0,"""Grand Central - 42 St""723",300
"106","GS","GS02","""Times Sq - 42 St""902",90,"""Times Sq - 42 St""127",180
"107","GS","GS02","""Times Sq - 42 St""902",90,"""Times Sq - 42 St""725",300
"108","GS","GS02","""Times Sq - 42 St""902",90,"""42 St - Port Authority Bus Terminal""A27",300
"109","GS","GS02","""Times Sq - 42 St""902",90,"""Times Sq - 42 St""R16",180
"110","1","1010","""168 St - Washington Hts""112",120,"""168 St""A09",180
"111","1","1023","""59 St - Columbus Circle""125",90,"""59 St - Columbus Circle""A24",180
"112","1","1025","""Times Sq - 42 St""127",90,"""Times Sq - 42 St""725",180
"113","1","1025","""Times Sq - 42 St""127",90,"""Times Sq - 42 St""902",180
"114","1","1025","""Times Sq - 42 St""127",90,"""42 St - Port Authority Bus Terminal""A27",300
"115","1","1025","""Times Sq - 42 St""127",90,"""Times Sq - 42 St""R16",180
"116","1","1030","""14 St""132",60,"""14 St""D19",300
"117","1","1030","""14 St""132",60,"""6 Av""L02",180
"118","1","1038","""South Ferry Loop""140",210,"""Whitehall St""R27",120
"119","2","2019","""149 St - Grand Concourse""222",120,"""149 St - Grand Concourse""415",180
"120","2","2026","""Times Sq - 42 St""127",240,"""Times Sq - 42 St""725",180
"121","2","2026","""Times Sq - 42 St""127",240,"""Times Sq - 42 St""902",180
"122","2","2026","""Times Sq - 42 St""127",240,"""42 St - Port Authority Bus Terminal""A27",300
"123","2","2026","""Times Sq - 42 St""127",240,"""Times Sq - 42 St""R16",180
"124","2","2028","""14 St""132",180,"""14 St""D19",300
"125","2","2028","""14 St""132",180,"""6 Av""L02",180
"126","2","2030","""Park Pl""228",90,"""Chambers St""A36",180
"127","2","2030","""Park Pl""228",90,"""World Trade Center""E01",180
"128","2","2031","""Fulton St""229",120,"""Fulton St""418",300
"129","2","2031","""Fulton St""229",120,"""Fulton St""A38",180
"130","2","2031","""Fulton St""229",120,"""Fulton St""M22",300
"131","2","2034","""Borough Hall""232",60,"""Borough Hall""423",300
"132","2","2034","""Borough Hall""232",60,"""Court St""R28",180
"133","2","2037","""Atlantic Av - Barclays Ctr""235",90,"""Atlantic Av - Barclays Ctr""D24",180
"134","2","2037","""Atlantic Av - Barclays Ctr""235",90,"""Atlantic Av - Barclays Ctr""R31",180
"135","2","2041","""Franklin Av""239",90,"""Botanic Garden""S04",180
"136","2","2054","""Franklin Av""239",90,"""Botanic Garden""S04",180
"137","E","E013","""Jackson Hts - Roosevelt Av""G14",90,"""74 St - Broadway""710",180
"138","E","E020","""Court Sq""F09",90,"""Court Sq""719",300
"139","E","E020","""Court Sq""F09",90,"""Court Sq""G22",180
"140","E","E021","""Lexington Av/53 St""F11",180,"""51 St""630",180
"141","E","E025","""42 St - Port Authority Bus Terminal""A27",120,"""Times Sq - 42 St""127",300
"142","E","E025","""42 St - Port Authority Bus Terminal""A27",120,"""Times Sq - 42 St""725",180
"143","E","E025","""42 St - Port Authority Bus Terminal""A27",120,"""Times Sq - 42 St""902",300
"144","E","E025","""42 St - Port Authority Bus Terminal""A27",120,"""Times Sq - 42 St""R16",300
"145","E","E028","""14 St""A31",90,"""8 Av""L01",90
"146","E","E029","""W 4 St""A32",120,"""W 4 St""D20",180
"147","E","E032","""World Trade Center""E01",120,"""Park Pl""228",180
"148","E","E032","""World Trade Center""E01",120,"""Chambers St""A36",300
"149","F","F09","""Jackson Hts - Roosevelt Av""G14",420,"""74 St - Broadway""710",180
"150","F","F012","""Lexington Av/63 St""B08",150,"""59 St""629",300
"151","F","F012","""Lexington Av/63 St""B08",150,"""Lexington Av/59 St""R11",300
"152","F","F015","""42 St - Bryant Pk""D16",90,"""5 Av""724",180
"153","F","F016","""34 St - Herald Sq""D17",90,"""34 St - Herald Sq""R17",180
"154","F","F018","""14 St""D19",90,"""14 St""132",300
"155","F","F018","""14 St""D19",90,"""6 Av""L02",180
"156","F","F019","""W 4 St""D20",90,"""W 4 St""A32",180
"157","F","F020","""Broadway-Lafayette St""D21",150,"""Bleecker St""637",180
"158","F","F022","""Delancey St""F15",90,"""Essex St""M18",180
"159","F","F025","""Jay St - MetroTech""A41",90,"""Jay St - MetroTech""R29",90
"160","F","F029","""4 Av""F23",90,"""9 St""R33",180
"161","FS","FS01","""Franklin Av""S01",0,"""Franklin Av""A45",180
"162","FS","FS03","""Botanic Garden""S04",90,"""Franklin Av""239",180
"163","G","G05","""4 Av""F23",120,"""9 St""R33",180
"164","G","G017","""Metropolitan Av""G29",60,"""Lorimer St""L10",180
"165","G","G021","""Court Sq""G22",60,"""Court Sq""719",180
"166","G","G021","""Court Sq""G22",60,"""Court Sq""F09",180
"167","J","J015","""Broadway Jct""J27",120,"""Broadway Jct""A51",180
"168","J","J015","""Broadway Jct""J27",120,"""Broadway Jct""L22",180
"169","J","J025","""Essex St""M18",450,"""Delancey St""F15",180
"170","J","J027","""Canal St""M20",90,"""Canal St""639",180
"171","J","J027","""Canal St""M20",90,"""Canal St""Q01",180
"172","J","J027","""Canal St""M20",90,"""Canal St""R23",300
"173","J","J028","""Chambers St""M21",90,"""Brooklyn Bridge - City Hall""640",180
"174","J","J029","""Fulton St""M22",60,"""Fulton St""229",300
"175","J","J029","""Fulton St""M22",60,"""Fulton St""418",300
"176","J","J029","""Fulton St""M22",60,"""Fulton St""A38",180
"177","Z","Z011","""Broadway Jct""J27",90,"""Broadway Jct""A51",180
"178","Z","Z011","""Broadway Jct""J27",90,"""Broadway Jct""L22",180
"179","Z","Z016","""Essex St""M18",450,"""Delancey St""F15",180
"180","Z","Z018","""Canal St""M20",120,"""Canal St""639",180
"181","Z","Z018","""Canal St""M20",120,"""Canal St""Q01",180
"182","Z","Z018","""Canal St""M20",120,"""Canal St""R23",300
"183","Z","Z019","""Chambers St""M21",90,"""Brooklyn Bridge - City Hall""640",180
"184","Z","Z020","""Fulton St""M22",90,"""Fulton St""229",300
"185","Z","Z020","""Fulton St""M22",90,"""Fulton St""418",300
"186","Z","Z020","""Fulton St""M22",90,"""Fulton St""A38",180
"187","L","L03","""Livonia Av""L26",90,"""Junius St""254",300
"188","L","L06","""Broadway Jct""L22",90,"""Broadway Jct""A51",180
"189","L","L06","""Broadway Jct""L22",90,"""Broadway Jct""J27",180
"190","L","L010","""Myrtle - Wyckoff Avs""L17",90,"""Myrtle - Wyckoff Avs""M08",180
"191","L","L017","""Lorimer St""L10",60,"""Metropolitan Av""G29",180
"192","L","L021","""Union Sq - 14 St""L03",90,"""14 St - Union Sq""635",180
"193","L","L021","""Union Sq - 14 St""L03",90,"""14 St - Union Sq""R20",180
"194","L","L022","""6 Av""L02",90,"""14 St""132",180
"195","L","L022","""6 Av""L02",90,"""14 St""D19",180
"196","L","L023","""8 Av""L01",90,"""14 St""A31",90
"197","M","M07","""Jackson Hts - Roosevelt Av""G14",120,"""74 St - Broadway""710",180
"198","M","M014","""Court Sq""F09",120,"""Court Sq""719",300
"199","M","M014","""Court Sq""F09",120,"""Court Sq""G22",180
"200","M","M015","""Lexington Av/53 St""F11",210,"""51 St""630",180
"201","M","M018","""42 St - Bryant Pk""D16",90,"""5 Av""724",180
"202","M","M019","""34 St - Herald Sq""D17",90,"""34 St - Herald Sq""R17",180
"203","M","M021","""14 St""D19",90,"""14 St""132",300
"204","M","M021","""14 St""D19",90,"""6 Av""L02",180
"205","M","M022","""W 4 St""D20",90,"""W 4 St""A32",180
"206","M","M023","""Broadway-Lafayette St""D21",150,"""Bleecker St""637",180
"207","M","M024","""Essex St""M18",180,"""Delancey St""F15",180
"208","M","M032","""Myrtle - Wyckoff Avs""M08",120,"""Myrtle - Wyckoff Avs""L17",180
"209","N","N07","""Queensboro Plaza""R09",120,"""Queensboro Plaza""718",0
"210","N","N08","""Lexington Av/59 St""R11",270,"""59 St""629",180
"211","N","N08","""Lexington Av/59 St""R11",270,"""Lexington Av/63 St""B08",300
"212","N","N012","""Times Sq - 42 St""R16",90,"""Times Sq - 42 St""127",180
"213","N","N012","""Times Sq - 42 St""R16",90,"""Times Sq - 42 St""725",180
"214","N","N012","""Times Sq - 42 St""R16",90,"""Times Sq - 42 St""902",180
"215","N","N012","""Times Sq - 42 St""R16",90,"""42 St - Port Authority Bus Terminal""A27",300
"216","N","N013","""34 St - Herald Sq""R17",90,"""34 St - Herald Sq""D17",180
"217","N","N016","""14 St - Union Sq""R20",90,"""14 St - Union Sq""635",180
"218","N","N016","""14 St - Union Sq""R20",90,"""Union Sq - 14 St""L03",180
"219","N","N019","""Canal St""R23",90,"""Canal St""639",180
"220","N","N019","""Canal St""R23",90,"""Canal St""M20",300
"221","N","N019","""Canal St""R23",90,"""Canal St""Q01",180
"222","N","N023","""Whitehall St""R27",120,"""South Ferry Loop""140",120
"223","N","N024","""Court St""R28",210,"""Borough Hall""232",180
"224","N","N024","""Court St""R28",210,"""Borough Hall""423",180
"225","N","N025","""Jay St - MetroTech""R29",120,"""Jay St - MetroTech""A41",90
"226","N","N027","""Atlantic Av - Barclays Ctr""R31",390,"""Atlantic Av - Barclays Ctr""235",180
"227","N","N027","""Atlantic Av - Barclays Ctr""R31",390,"""Atlantic Av - Barclays Ctr""D24",300
"228","N","N029","""9 St""R33",90,"""4 Av""F23",180
"229","N","N038","""New Utrecht Av""N04",120,"""62 St""B16",180
"230","Q","Q03","""Times Sq - 42 St""R16",90,"""Times Sq - 42 St""127",180
"231","Q","Q03","""Times Sq - 42 St""R16",90,"""Times Sq - 42 St""725",180
"232","Q","Q03","""Times Sq - 42 St""R16",90,"""Times Sq - 42 St""902",180
"233","Q","Q03","""Times Sq - 42 St""R16",90,"""42 St - Port Authority Bus Terminal""A27",300
"234","Q","Q04","""34 St - Herald Sq""R17",90,"""34 St - Herald Sq""D17",180
"235","Q","Q07","""14 St - Union Sq""R20",90,"""14 St - Union Sq""635",180
"236","Q","Q07","""14 St - Union Sq""R20",90,"""Union Sq - 14 St""L03",180
"237","Q","Q010","""Canal St""Q01",120,"""Canal St""639",180
"238","Q","Q010","""Canal St""Q01",120,"""Canal St""M20",180
"239","Q","Q010","""Canal St""Q01",120,"""Canal St""R23",180
"240","Q","Q012","""Atlantic Av - Barclays Ctr""D24",90,"""Atlantic Av - Barclays Ctr""235",180
"241","Q","Q012","""Atlantic Av - Barclays Ctr""D24",90,"""Atlantic Av - Barclays Ctr""R31",300
"242","R","R011","""9 St""R33",120,"""4 Av""F23",180
"243","R","R013","""Atlantic Av - Barclays Ctr""R31",120,"""Atlantic Av - Barclays Ctr""235",180
"244","R","R013","""Atlantic Av - Barclays Ctr""R31",120,"""Atlantic Av - Barclays Ctr""D24",300
"245","R","R015","""Jay St - MetroTech""R29",180,"""Jay St - MetroTech""A41",90
"246","R","R016","""Court St""R28",120,"""Borough Hall""232",180
"247","R","R016","""Court St""R28",120,"""Borough Hall""423",180
"248","R","R017","""Whitehall St""R27",210,"""South Ferry Loop""140",120
"249","R","R021","""Canal St""R23",150,"""Canal St""639",180
"250","R","R021","""Canal St""R23",150,"""Canal St""M20",300
"251","R","R021","""Canal St""R23",150,"""Canal St""Q01",180
"252","R","R024","""14 St - Union Sq""R20",90,"""14 St - Union Sq""635",180
"253","R","R024","""14 St - Union Sq""R20",90,"""Union Sq - 14 St""L03",180
"254","R","R027","""34 St - Herald Sq""R17",60,"""34 St - Herald Sq""D17",180
"255","R","R028","""Times Sq - 42 St""R16",90,"""Times Sq - 42 St""127",180
"256","R","R028","""Times Sq - 42 St""R16",90,"""Times Sq - 42 St""725",180
"257","R","R028","""Times Sq - 42 St""R16",90,"""Times Sq - 42 St""902",180
"258","R","R028","""Times Sq - 42 St""R16",90,"""42 St - Port Authority Bus Terminal""A27",300
"259","R","R032","""Lexington Av/59 St""R11",90,"""59 St""629",180
"260","R","R032","""Lexington Av/59 St""R11",90,"""Lexington Av/63 St""B08",300
"261","R","R039","""Jackson Hts - Roosevelt Av""G14",90,"""74 St - Broadway""710",180
"262","A","A06","""168 St""A09",120,"""168 St - Washington Hts""112",180
"263","A","A09","""145 St""A12",90,"""145 St""D13",180
"264","A","A019","""59 St - Columbus Circle""A24",90,"""59 St - Columbus Circle""125",180
"265","A","A021","""42 St - Port Authority Bus Terminal""A27",120,"""Times Sq - 42 St""127",300
"266","A","A021","""42 St - Port Authority Bus Terminal""A27",120,"""Times Sq - 42 St""725",180
"267","A","A021","""42 St - Port Authority Bus Terminal""A27",120,"""Times Sq - 42 St""902",300
"268","A","A021","""42 St - Port Authority Bus Terminal""A27",120,"""Times Sq - 42 St""R16",300
"269","A","A024","""14 St""A31",90,"""8 Av""L01",90
"270","A","A025","""W 4 St""A32",120,"""W 4 St""D20",180
"271","A","A028","""Chambers St""A36",120,"""Park Pl""228",180
"272","A","A028","""Chambers St""A36",120,"""World Trade Center""E01",300
"273","A","A029","""Fulton St""A38",120,"""Fulton St""229",180
"274","A","A029","""Fulton St""A38",120,"""Fulton St""418",180
"275","A","A029","""Fulton St""A38",120,"""Fulton St""M22",180
"276","A","A031","""Jay St - MetroTech""A41",120,"""Jay St - MetroTech""R29",90
"277","A","A035","""Franklin Av""A45",90,"""Franklin Av""S01",180
"278","A","A041","""Broadway Jct""A51",90,"""Broadway Jct""J27",180
"279","A","A041","""Broadway Jct""A51",90,"""Broadway Jct""L22",180
"280","B","B09","""161 St - Yankee Stadium""D11",150,"""161 St - Yankee Stadium""414",180
"281","B","B011","""145 St""D13",90,"""145 St""A12",180
"282","B","B021","""59 St - Columbus Circle""A24",90,"""59 St - Columbus Circle""125",180
"283","B","B024","""42 St - Bryant Pk""D16",90,"""5 Av""724",180
"284","B","B025","""34 St - Herald Sq""D17",120,"""34 St - Herald Sq""R17",180
"285","B","B026","""W 4 St""D20",180,"""W 4 St""A32",180
"286","B","B027","""Broadway-Lafayette St""D21",120,"""Bleecker St""637",180
"287","B","B030","""Atlantic Av - Barclays Ctr""D24",120,"""Atlantic Av - Barclays Ctr""235",180
"288","B","B030","""Atlantic Av - Barclays Ctr""D24",120,"""Atlantic Av - Barclays Ctr""R31",300
"289","C","C05","""Broadway Jct""A51",120,"""Broadway Jct""J27",180
"290","C","C05","""Broadway Jct""A51",120,"""Broadway Jct""L22",180
"291","C","C011","""Franklin Av""A45",60,"""Franklin Av""S01",180
"292","C","C015","""Jay St - MetroTech""A41",120,"""Jay St - MetroTech""R29",90
"293","C","C017","""Fulton St""A38",240,"""Fulton St""229",180
"294","C","C017","""Fulton St""A38",240,"""Fulton St""418",180
"295","C","C017","""Fulton St""A38",240,"""Fulton St""M22",180
"296","C","C018","""Chambers St""A36",120,"""Park Pl""228",180
"297","C","C018","""Chambers St""A36",120,"""World Trade Center""E01",300
"298","C","C021","""W 4 St""A32",120,"""W 4 St""D20",180
"299","C","C022","""14 St""A31",180,"""8 Av""L01",90
"300","C","C025","""42 St - Port Authority Bus Terminal""A27",90,"""Times Sq - 42 St""127",300
"301","C","C025","""42 St - Port Authority Bus Terminal""A27",90,"""Times Sq - 42 St""725",180
"302","C","C025","""42 St - Port Authority Bus Terminal""A27",90,"""Times Sq - 42 St""902",300
"303","C","C025","""42 St - Port Authority Bus Terminal""A27",90,"""Times Sq - 42 St""R16",300
"304","C","C027","""59 St - Columbus Circle""A24",270,"""59 St - Columbus Circle""125",180
"305","C","C037","""145 St""A12",90,"""145 St""D13",180
"306","C","C040","""168 St""A09",90,"""168 St - Washington Hts""112",180
"307","D","D010","""161 St - Yankee Stadium""D11",150,"""161 St - Yankee Stadium""414",180
"308","D","D012","""145 St""D13",90,"""145 St""A12",180
"309","D","D014","""59 St - Columbus Circle""A24",480,"""59 St - Columbus Circle""125",180
"310","D","D017","""42 St - Bryant Pk""D16",90,"""5 Av""724",180
"311","D","D018","""34 St - Herald Sq""D17",90,"""34 St - Herald Sq""R17",180
"312","D","D019","""W 4 St""D20",180,"""W 4 St""A32",180
"313","D","D020","""Broadway-Lafayette St""D21",120,"""Bleecker St""637",180
"314","D","D023","""Atlantic Av - Barclays Ctr""R31",300,"""Atlantic Av - Barclays Ctr""235",180
"315","D","D023","""Atlantic Av - Barclays Ctr""R31",300,"""Atlantic Av - Barclays Ctr""D24",300
"316","D","D025","""9 St""R33",90,"""4 Av""F23",180
"317","D","D033","""62 St""B16",90,"""New Utrecht Av""N04",180
